Timestamp (s),Test,Left Volts (V),Right Volts (V),Left Position (m),Right Position (m),Left Velocity (m/s),Right Velocity (m/s),Gyro Position (deg),Gyro Rate (deg/s)

54.566107,slow-forward,0,0,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.570858,slow-forward,-4e-05,4e-05,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.575862,slow-forward,-0.001227,0.001227,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.581334,slow-forward,-0.002479,0.002479,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.585904,slow-forward,-0.003846,0.003846,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.590897,slow-forward,-0.004989,0.004989,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.595859,slow-forward,-0.006237,0.006237,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.601002,slow-forward,-0.007478,0.007478,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.605836,slow-forward,-0.008763,0.008763,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.610872,slow-forward,-0.009972,0.009972,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.615835,slow-forward,-0.011231,0.011231,-11.0628385756,7.3490693016,0,0,628.286133,-0.002128
54.620842,slow-forward,-0.012472,0.012472,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.625821,slow-forward,-0.013723,0.013723,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.630927,slow-forward,-0.014968,0.014968,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.635847,slow-forward,-0.016245,0.016245,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.640806,slow-forward,-0.017475,0.017475,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.645794,slow-forward,-0.018714,0.018714,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.650856,slow-forward,-0.019961,0.019961,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.655811,slow-forward,-0.021227,0.021227,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.66112,slow-forward,-0.022466,0.022466,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.665811,slow-forward,-0.023793,0.023793,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.670874,slow-forward,-0.024966,0.024966,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.675842,slow-forward,-0.026231,0.026231,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.68122,slow-forward,-0.027473,0.027473,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.685853,slow-forward,-0.028818,0.028818,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.690878,slow-forward,-0.029976,0.029976,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.69582,slow-forward,-0.031232,0.031232,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.701153,slow-forward,-0.032468,0.032468,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.705809,slow-forward,-0.033801,0.033801,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.710844,slow-forward,-0.034965,0.034965,-11.0628385756,7.3490693016,0,0,628.286133,0.001064
54.71585,slow-forward,-0.036224,0.036224,-11.0628385756,7.3490693016,0,0,628.286133,0
54.721353,slow-forward,-0.037475,0.037475,-11.0628385756,7.3490693016,0,0,628.286133,0
54.725822,slow-forward,-0.038851,0.038851,-11.0628385756,7.3490693016,0,0,628.286133,0
54.730843,slow-forward,-0.039969,0.039969,-11.0628385756,7.3490693016,0,0,628.286133,0
54.735821,slow-forward,-0.041224,0.041224,-11.0628385756,7.3490693016,0,0,628.286133,0
54.740998,slow-forward,-0.042468,0.042468,-11.0628385756,7.3490693016,0,0,628.286133,0
54.745826,slow-forward,-0.043762,0.043762,-11.0628385756,7.3490693016,0,0,628.286133,0
54.75091,slow-forward,-0.04497,0.04497,-11.0628385756,7.3490693016,0,0,628.286133,0
54.755808,slow-forward,-0.04624,0.04624,-11.0628385756,7.3490693016,0,0,628.286133,0
54.761089,slow-forward,-0.047465,0.047465,-11.0628385756,7.3490693016,0,0,628.286133,0
54.765862,slow-forward,-0.048785,0.048785,-11.0628385756,7.3490693016,0,0,628.286133,0
54.770868,slow-forward,-0.049978,0.049978,-11.0628385756,7.3490693016,0,0,628.286133,0
